,Exact_Match_Accuracy,PM1_Accuracy,PM2_Accuracy,Photos_Included
1,47.22222222222222,47.22222222222222,47.22222222222222,36
2,0.0,48.529411764705884,63.23529411764706,68
3,0.0,27.27272727272727,72.72727272727273,22
4,17.24137931034483,34.48275862068966,34.48275862068966,29
5,27.27272727272727,29.09090909090909,29.09090909090909,55
6,0.0,16.0,36.0,25
7,0.0,0.0,63.63636363636363,11
8,0.0,28.57142857142857,33.33333333333333,21
9,6.451612903225806,12.903225806451612,12.903225806451612,31
10,19.230769230769234,50.0,50.0,26
